* Konfiguration
*
* Populationsgroesse festlegen
* Definiert die Größe der Population für die Lösung mit einem evolutionären Algorithmus. Default: 500
? sa.population_size=100
* Definiert die Größe der Population für die Lösung mit Ant Colony Optimization. Default: 10000
? aco.population_size=2000
*
* Maximale Anzahl von Umläufen
* Die grösste erwartete Anzahl von Umläufen in einer Lösung. Zu kleine Werte führen dazu, dass das Programm nicht korrekt arbeitet.
* Zu grosse Werte führen zu einem unnötig großen Speicherverbrauch.
* Default: 700
? aco.max_num_of_circulations=867
*
* Maximale Länge eines Umlaufs.
* Beeinflusst den Speicherbedarf.
* Default: 50
? aco.max_circulation_length=40
? sa.max_circulation_length=80
*
* Depots festlegen
* Definiert, nach welchem Verfahren die Depots festgelegt werden.
* no_service_trip:	Jede Haltestelle, an der keine Servicefahrten ankommen oder abgehen wird als Depot angesehen.
* one_digit_id:		Jede Haltestelle mit einstelliger Legacy-Id wird als Depot angesehen.
*?depot_detection_mode=no_service_trip
?depot_detection_mode=one_digit_id
*
* Haltestellennamen
* true: Die Haltestellennamen werden durch zufällig ausgewählte Strassennamen ersetzt.
?use_random_streetnames=false
*?use_random_streetnames=true
*
* Ladestationen
* Definiert, nach welchem Verfahren die Ladestationen festgelegt werden.
* no_charging_stations: 	Es wird ein VSP für konventionelle Fahrzeuge gelöst. Keine Ladestationen & unbegrenzte Batteriekapazität.
* random_stops:				Zufällig ausgewählte Haltestellen werden zu Ladestationen (prozentualer Anteil: charging_station_ratio).
* veh_capacity_at_stops: 	Jede Haltestelle mit einer VehCapacityForCharging > 0 wird zu Ladestation.
* veh_type_entry:			Jede Haltestelle mit einem Eintrag im Block VEHTYPETOCHARGINGSTATION wird zu Ladestation.
*?charging_station_detection_mode=no_charging_stations
?charging_station_detection_mode=random_stops
*?charging_station_detection_mode=veh_capacity_at_stops
*?charging_station_detection_mode=veh_type_entry
*
* Anteil der Ladestationen
* Prozentualer Anteil von Ladestationen an der Gesamtanzahl der Bushaltestellen im Bereich 0-100. Nur relevant, wenn 
* 'charging_station_detection_mode' gleich 'random' ist. Default: 10%
* 0:   Über die Depots hinaus gibt es keine Ladestationen.
* 100: Jede Bushaltestelle ist auch eine Ladestation.
?charging_station_ratio=10
*
$CHARGINGSYSTEM:ID;Name
0;Plugin
1;Panthograph/Overhead
2;Battery Change
3;Induction
*
$STOPPOINT:ID;Code;Name;VehCapacityForCharging;chargeColumn;fastCharge
1;BHof;GöVB Betriebshof;0;3,0,1;1
10241;SSW;Söseweg;0;-1;0
10412;DEI2;Deisterstraße;0;0,3;0
10451;ITW1;Ithweg;0;0,2;0
10463;KPW;Kauf Park;0;1,2;0
10471;SIW1;Siekweg;0;-1;0
10491;BWS1;Bramwaldstraße;1000;3,0,1;0
10511;KRU1;Krugstraße;0;-1;0
10541;SHS1;St.-Heinrich-Str.;0;-1;0
10601;GEH1;Gr. Ellershausen;0;-1;0
10611;AAK;Am Alten Krug;0;-1;0
10641;SMS;St.-Martini-Str.;0;2,1,3;1
10701;MBS1;Mittelbergschule;1000;1,0;1
10801;KNU1;Knutbühren;0;-1;0
10851;IDW1;In der Wehm;0;2;1
10861;AWB;Am Winterberg;0;1;1
10871;ZST;Zollstock;0;3;1
11101;SKW1;Spickenweg;0;1;1
18431;EKS;Erich-Kästner-Schule;0;-1;0
18521;HHS;Heinrich-Heine-Schule;0;-1;0
20052;LGR2;Landgericht/Bahnhof;0;-1;0
20081;SZP1;Schützenplatz;0;-1;0
20391;LVP1;Levinpark;0;0,3,1;0
20552;OBS2;Otto-Brenner-Str.;0;2;1
20662;AEB2;Am Eikborn;0;-1;0
20701;DHS1;Diedershäuser Straße;0;1,0;1
20711;HRA1;Harrenacker;0;-1;0
20872;LDS;Londonstraße;0;-1;0
20901;ERA;Europaallee;0;-1;0
21871;EBE1;Esebeck;0;-1;0
21931;LLS1;Lenglerner Str.;0;-1;0
21982;EBR2;Eisenbreite;0;0;1
28081;OHG;Otto-Hahn-Gymnasium;0;-1;0
28341;AZG;Altenzentrum Grone;0;0,1;1
28861;HBS;Hagenbergschule;0;0;0
30302;KL2;Klinikum;0;-1;0
30351;SPW;Sprangerweg;0;2;0
30422;THS2;Th.-Heuss-Str.;0;-1;0
30432;OLW2;Ostlandweg;0;-1;0
30542;HEN2;Hennebergstraße;0;-1;0
30551;IHS1;Im Hassel;0;-1;0
30561;HLW;Helleweg;0;0,3;0
30581;SPE;Stumpfe Eiche;0;0,3,1;1
30801;JFR1;J.-Franck-Ring;0;-1;0
30901;FHJ1;Friedh. Junkerbg.;0;1,3;1
30931;LTA1;Lutteranger;0;1,0,3;1
30952;GSS2;Goldschmidtstr.;0;2;0
30954;GSS4;Goldschmidtstr.;0;3,0;0
31041;BTS1;Breite Straße;0;1,3,2;0
31141;LNS;Liegnitzer Str.;1000;3,1;1
38031;SZB;Schulzentrum Bovenden;0;-1;0
38091;BGS;Brüder-Grimm-Schule;0;-1;0
38802;SAT;Schule am Tannenberg;0;3,0,1;0
38962;SHW;Sporthalle Weende;0;0,1,2;1
40052;BUE2;Bühlstraße;0;3,0,2;1
40132;RRG;Roringen;0;2,0,1;0
40151;HES1;Herberhausen;0;-1;0
40321;ROH;Rohns;0;3;0
40401;JGH1;Jugendherberge;0;-1;0
40451;KLB;Klausberg;0;1;1
40521;FAS1;Faßberg;0;-1;0
40582;BHW2;Burckhardtweg;0;3,2;1
40591;ADL1;Auf der Lieth;0;-1;0
40611;RTA;Rottenanger;0;-1;0
40621;AMB;Am Menzelberg;0;-1;0
40641;HLG;Hohler Graben;0;2,1,0;1
