* Konfiguration
*
* Populationsgroesse festlegen
* Definiert die Größe der Population für die Lösung mit Simulated Annealing. Default: 1000
? sa.population_size=1000
* Definiert die Größe der Population für die Lösung mit Ant Colony Optimization. Default: 10000
? aco.population_size=1000
*
* Maximale Anzahl von Umläufen
* Die grösste erwartete Anzahl von Umläufen in einer Lösung. Zu kleine Werte führen dazu, dass das Programm nicht korrekt arbeitet.
* Zu grosse Werte führen zu einem unnötig großen Speicherverbrauch.
* Default: 700
? aco.max_num_of_circulations=10710
*
* Maximale Länge eines Umlaufs.
* Beeinflusst den Speicherbedarf.
* Default: 50
? aco.max_circulation_length=40
? sa.max_circulation_length=120
*
* Verbindungsfahrten überprüfen
* Die Input-Datei enthält möglicherweise Verbindungsfahrten, deren Dauer oder Laufzeit mit 0 angegeben ist. Wenn 'check_emtpy_trips'
* gleich 'true' ist wird dies überprüft und falls nötig werden die Dauer bzw. die Laufzeit mit Durchschnittswerden überschrieben.
? check_emtpy_trips=true
*
* Servicefahrten überprüfen
* Die Input-Datei enthält möglicherweise nicht für alle Haltestellen, an denen Servicefahrten enden eine Verbindungsfahrt zu einem
* in der Input-Datei definierten Depot. Wenn 'check_service_trips' gleich 'true' ist wird dies überprüft und falls nötig werden
* neue Verbindungsfahrten erzeugt, die die Haltestellen der betroffenen Servicefahrten mit Depots verbinden.
? check_service_trips=true
*
* Depots festlegen
* Definiert, nach welchem Verfahren die Depots festgelegt werden.
* no_service_trip:	Jede Haltestelle, an der keine Servicefahrten ankommen oder abgehen wird als Depot angesehen.
* one_digit_id:		Jede Haltestelle mit einstelliger Legacy-Id wird als Depot angesehen.
*?depot_detection_mode=no_service_trip
?depot_detection_mode=one_digit_id
*
* Haltestellennamen
* true: Die Haltestellennamen werden durch zufällig ausgewählte Strassennamen ersetzt.
?use_random_streetnames=false
*?use_random_streetnames=true
*
* Ladestationen
* Definiert, nach welchem Verfahren die Ladestationen festgelegt werden.
* no_charging_stations: 	Es wird ein VSP für konventionelle Fahrzeuge gelöst. Keine Ladestationen & unbegrenzte Batteriekapazität.
* random_stops:				Zufällig ausgewählte Haltestellen werden zu Ladestationen (prozentualer Anteil: charging_station_ratio).
* veh_capacity_at_stops: 	Jede Haltestelle mit einer VehCapacityForCharging > 0 wird zu Ladestation.
* veh_type_entry:			Jede Haltestelle mit einem Eintrag im Block VEHTYPETOCHARGINGSTATION wird zu Ladestation.
*?charging_station_detection_mode=no_charging_stations
?charging_station_detection_mode=random_stops
*?charging_station_detection_mode=veh_capacity_at_stops
*?charging_station_detection_mode=veh_type_entry
*
* Anteil der Ladestationen
* Prozentualer Anteil von Ladestationen an der Gesamtanzahl der Bushaltestellen im Bereich 0-100. Nur relevant, wenn 
* 'charging_station_detection_mode' gleich 'random' ist. Default: 10%
* 0:   Über die Depots hinaus gibt es keine Ladestationen.
* 100: Jede Bushaltestelle ist auch eine Ladestation.
?charging_station_ratio=10
*
$CHARGINGSYSTEM:ID;Name
0;Plugin
1;Panthograph/Overhead
2;Battery Change
3;Induction
*
$STOPPOINT:ID;Code;Name;VehCapacityForCharging
672;672;672;1000
753;753;753;1000
717;717;717;1000
426;426;426;1000
346;346;346;1000
628;628;628;1000
321;321;321;1000
649;649;649;1000
175;175;175;1000
1184;1184;1184;1000
116;116;116;1000
571;571;571;1000
935;935;935;1000
785;785;785;1000
596;596;596;1000
767;767;767;1000
680;680;680;1000
637;637;637;1000
103;103;103;1000
4;4;4;1000
851;851;851;1000
1222;1222;1222;1000
288;288;288;0
227;227;227;0
582;582;582;0
1789;1789;1789;0
980;980;980;0
290;290;290;0
655;655;655;0
167;167;167;0
1787;1787;1787;0
885;885;885;0
959;959;959;0
404;404;404;0
1284;1284;1284;0
1172;1172;1172;0
1203;1203;1203;0
1234;1234;1234;0
1743;1743;1743;0
1388;1388;1388;0
236;236;236;0
813;813;813;0
370;370;370;0
938;938;938;0
1283;1283;1283;0
866;866;866;0
1355;1355;1355;0
302;302;302;0
1008;1008;1008;0
151;151;151;0
1341;1341;1341;0
1438;1438;1438;0
182;182;182;0
691;691;691;0
377;377;377;0
706;706;706;0
1624;1624;1624;0
764;764;764;0
283;283;283;0
733;733;733;0
491;491;491;0
486;486;486;0
1784;1784;1784;0
1189;1189;1189;0
1571;1571;1571;0
494;494;494;0
326;326;326;0
560;560;560;0
1645;1645;1645;0
1170;1170;1170;0
634;634;634;0
1713;1713;1713;0
770;770;770;0
1420;1420;1420;0
492;492;492;0
1766;1766;1766;0
193;193;193;0
1147;1147;1147;0
509;509;509;0
179;179;179;0
1111;1111;1111;0
1357;1357;1357;0
333;333;333;0
256;256;256;0
644;644;644;0
871;871;871;0
144;144;144;0
564;564;564;0
192;192;192;0
1767;1767;1767;0
989;989;989;0
1194;1194;1194;0
530;530;530;0
552;552;552;0
613;613;613;0
1615;1615;1615;0
612;612;612;0
457;457;457;0
1047;1047;1047;0
995;995;995;0
904;904;904;0
1386;1386;1386;0
1769;1769;1769;0
313;313;313;0
287;287;287;0
1778;1778;1778;0
547;547;547;0
629;629;629;0
141;141;141;0
1104;1104;1104;0
1200;1200;1200;0
1533;1533;1533;0
827;827;827;0
379;379;379;0
145;145;145;0
1431;1431;1431;0
831;831;831;0
542;542;542;0
383;383;383;0
211;211;211;0
220;220;220;0
1118;1118;1118;0
1123;1123;1123;0
1031;1031;1031;0
1096;1096;1096;0
886;886;886;0
1708;1708;1708;0
502;502;502;0
253;253;253;0
409;409;409;0
277;277;277;0
209;209;209;0
160;160;160;0
166;166;166;0
1130;1130;1130;0
861;861;861;0
578;578;578;0
366;366;366;0
5;5;5;0
26;26;26;0
*
$LINE:ID;Code;Name;;;;;;;;
121;121;121;;;;;;;;
123;123;123;;;;;;;;
164;164;164;;;;;;;;
237;237;237;;;;;;;;
210;210;210;;;;;;;;
23;23;23;;;;;;;;
156;156;156;;;;;;;;
232;232;232;;;;;;;;
227;227;227;;;;;;;;
158;158;158;;;;;;;;
31;31;31;;;;;;;;
35;35;35;;;;;;;;
118;118;118;;;;;;;;
44;44;44;;;;;;;;
64;64;64;;;;;;;;
68;68;68;;;;;;;;
75;75;75;;;;;;;;
77;77;77;;;;;;;;
